sample_HFS156	sample_HFS157-resub	sample_HFS158	sample_HFS159	sample_HFS160	sample_HFS199	sample_HFS200	sample_HFS201	sample_HFS202	sample_HFS253	sample_HFS254	sample_HFS255	sample_HFS256	sample_HFS257	sample_HFS303	sample_HFS304	sample_HFS305	sample_HFS306	sample_HFS307	sample_HFS348	sample_HFS349	sample_HFS350	sample_HFS351	sample_HFS352
MTF2	21.64781	15.24849	15.52714	17.67165	17.489072	20.9201	14.0818100488262	16.68985	18.3786	15.66669	19.884067	18.3577	14.7682	12.0364	23.772595	21.2669	15.1046000029115	20.382099	9.49865	16.780547	21.8077	12.2365	18.6931	18.1467
MTFMT	52.6762	47.6664	40.7109	39.0763	39.0361	36.4034	49.568	40.1042	37.579	28.324	41.8333	33.1954	39.2088	36.0807	43.8607	53.6652	58.5492	42.2026	51.576	43.5528	38.582	43.6399	36.5961	49.887
MTFP1	357.424	328.284	196.418	349.688	210.663	287.674	271.794	243.384	282.393	301.11	324.409	188.38	192.092	131.441	233.871	250.997	346.001	398.537	436.181	301.007	206.498	219.719	345.764	264.646
MTFR1	14.7005	20.3436	19.9069	23.0321	23.4351	18.2494	15.5787	21.0255	19.7583	19.8694	17.8361	17.373	17.1007	13.1981	16.385	15.3932	19.5308	17.36	12.4741	20.721	20.148	18.477	28.5417	21.4578
MTFR1L	60.00594	62.4988	77.7234	72.5604	77.17897	65.59504	69.15139	81.74689	75.70179	77.11129	69.65946	61.89849	67.34114	66.83568	76.42679	78.85873	67.36744	67.68481	75.22915	66.81409	79.46911	76.46213	89.5107	75.43549
MTFR2	0.328563	0.173559	0.158045	0.229717	0.182673	0.255296	0	0.136908	0.554689	0.21971	0.301226	0.486733	0.254912	0.446702	0.214777	0.169891	0.256837	0.678064	0	0.183521	0.373425	0.604332	0.351924	0.0822783
MTG1	47.61816	57.2678	46.432734	51.74827	43.9175	46.71988	48.094424	47.15552	56.06025	40.3904	46.02527	35.69744	29.838793	30.965801	51.58085	42.83205	61.331632	60.949054	54.83711	43.27929	30.17664	26.7212	58.09676	49.7965
MTG2	37.60637	31.42295	28.60518	33.8769	24.56323	24.8614	31.80789	33.5805	22.7839	22.97518	25.5272	24.6074	27.53894	28.58856	27.1486	25.97281	35.6183	27.86791	30.1643	25.40386	26.51847	24.51308	29.4903	21.93621
MTHFD1	6.47949	6.53717	11.4997	11.8431	9.63337	13.2062	8.09479	9.00184	12.4886	14.0665	11.053	11.2772	9.88612	10.1505	13.6258	10.7977	10.8036	13.5724	8.46975	10.6044	10.0358	8.38162	17.8733	8.66093
MTHFD1L	11.3113	14.89	21.2397	10.8685	21.3226	6.7555	5.34395	7.19544	8.09306	6.31745	12.8537	24.7475	11.8228	27.1661	6.80485	12.251	9.01283	8.48767	6.1803	8.8141	12.1721	9.38518	8.46503	12.0719
MTHFD2	7.65632	7.77634	9.70653	8.23777	7.34906	12.7338	10.6219	8.95546	8.90371	11.958	9.0303	12.0921	8.5523	8.08317	7.31044	6.69543	5.2941	10.4892	7.42543	10.9691	7.61711	9.34287	12.1227	10.2864
MTHFD2L	4.095598	5.403336	2.67835	5.248788	4.903302	5.33101	4.999361	6.400943	6.53513	4.481655	5.368856	3.819627	5.718676	4.47745	5.34834	5.65754	2.84887	3.85409	3.790926	4.839311	6.8861	4.18075	7.25297	6.24497
MTHFR	3.205987	2.884009	2.612430872258	3.08613	2.00544	1.53279	1.92775921	1.94256	1.32652	1.92982	2.63042	0.861864	2.28175	1.40850314	1.29672	1.92603	4.01373	2.29471	2.25538	2.2155	1.14845174	1.241794	1.715906	1.44673
MTHFS	8.41708	6.94697	6.76979	7.9231	7.82321	4.40231	6.36602	5.75722	4.32416	5.55124	6.09208	4.44505	6.4546	6.43588	5.9853	5.61865	9.65309	5.55364	5.30668	5.93801	6.13463	4.92308	4.23681	6.21703
MTHFSD	15.3437398776856	32.9384833	26.040392	19.661686	20.824623	18.25327	24.883567	27.499611	10.643571	13.215387	18.28683	12.485099	18.4442	23.602648	11.779194	17.962206	31.87087	20.414067	25.1535115	14.76032	15.772367	21.506726	19.69811	24.65148
MTIF2	15.9961	19.4332600731677	20.84041	17.8189	23.84023	20.216218	26.00049	21.692652	24.762527	25.40929	21.02504	22.10826	20.78249	25.88746	27.48622	29.58901	23.53326	24.490665	17.94954	27.13623	27.13359	25.63785	24.53789	22.945311
MTIF3	15.54497	18.2888	22.12789	17.98423	29.5558	26.1238	30.8463	22.44806	27.59546	25.27038	23.934	26.984	35.15459	25.33177	33.88113	23.839	26.4683	24.9687	23.9681	26.329425	26.7037	31.3025	24.55241	35.50002
MTLN	2.53575	3.45659	3.31064	2.77221	2.66808	2.58388	3.18397	3.25114	3.34743	2.78873	2.5842	1.99226	2.13583	2.65195	3.4552	2.43807	3.69516	4.29466	4.14788	2.63434	2.36039	2.37905	2.79154	3.69145
MTM1	11.92673	8.80343	13.32543	11.365890132213	14.434174	7.57035	6.15933011	6.410350306008	10.83794	5.30311	11.15166	19.68007	12.16287	13.364103	7.330862	8.554173	9.186451	6.486818	5.242985	11.1787	14.78033	10.12538	9.728127	10.10193
MTMR1	106.692044	77.5256136158012	89.5401540374716	107.47505	104.22774	121.669680000975	124.70358	117.56677	127.39507	112.4546796	116.962203	110.705730002219	115.267035	101.683132927699	102.859904	112.20441	117.691127269	107.503211508	96.55342	105.874332	114.05555	142.28284005282	131.311413388129	120.8592809
MTMR10	64.9279	52.1254	54.6704	55.8341	50.5282	57.7239	70.2236	65.7217	60.4761	60.1232	54.1085	76.3665	42.9158	57.026	64.47	68.5127	63.0954	55.7075	63.3407	43.1249	58.4983	47.4669	60.384	54.3595
MTMR11	5.530239	4.78594	4.466089	4.26849	2.93381	4.61931	4.213054	4.06565	2.56546	4.26834	4.275955	5.96792	3.318309	5.127406	5.77208	6.28608	2.314288	5.06086	2.58016	4.97252	4.43548	6.59668	4.350072	4.505119
MTMR12	10.1273	10.9395	7.08529	10.3907	7.68278	10.6246	14.6577	11.6074	10.4699	13.0777	10.3947	13.1682	9.75372	11.584	11.7159	9.72583	10.3054	9.6055	17.0773	10.6965	12.0176	10.5594	12.4904	11.9799
MTMR14	43.5958	40.5162	40.3155	42.3146	31.1811	31.576	41.9218	37.7644	35.43638	36.6713	37.1485	33.66207	33.1321	38.3193	33.4249	34.1731	34.3227	32.769	39.8537	32.0846	28.8116	34.5629	31.9601	35.8327
MTMR2	32.41305	42.54032	46.78467	40.37931	55.17581	39.60273	41.629	41.38303	41.37361	41.83722	43.94873	38.56414	47.18538	41.53674	50.35546	46.77136	41.09754	46.4145	40.76258	48.83265	49.6132	46.09802	50.50576	45.70702
MTMR3	35.71385	33.653016	36.2052400226262	37.422645	39.54218	51.38866	43.55228	44.42538	55.19814	43.13353	42.90874	42.8316300024021	44.7037	39.30958	47.90594	45.550885	39.460101	45.27204	41.232687568449	42.1838400002846	49.18899	46.3969100014708	50.60653	44.28779
MTMR4	30.92398	39.21404	40.83969	38.786901	49.913747	59.025828	44.966339	49.148671	67.37587	55.82997	51.0201	44.848058	52.159899	29.127172	49.309525	44.61073	40.0215	47.84771	43.53982	51.53971	54.53472	55.961518	54.83817	48.65446
MTMR6	11.5356	14.9001	17.6711	16.5399	32.3589	33.8387	24.4402	23.1521	32.8143	29.4061	32.7821	25.813	31.2344	18.9165	40.5243	29.5052	21.9744	27.5497	14.6632	36.5987	40.4772	27.2301	30.8888	25.576
MTMR7	27.1018	31.4057	46.0371	37.5196	49.166	46.468	39.1927	50.752	46.7422	51.7255	45.6965	38.3962	53.7675	35.151	59.4145	49.7042	41.6091	43.9297	32.494	53.3758	54.3344	49.4735	46.9493	45.71
MTMR9	40.9085	41.5071	35.8985	43.3652	29.7138	34.9381	32.2611	38.0559	33.5586	36.2076	33.4078	35.9429	36.2003	40.4977	26.7941	33.6384	40.1418	33.0734	35.2557	32.3638	33.3934	38.0121	33.6598	35.0231
MTO1	8.701238	9.541994	16.47297	14.35170199163	18.37122	8.99916	16.654266	12.3022	9.34314	11.1793	9.83225	12.55649	13.49212	11.3586	15.5873	19.21111	14.05126	11.867784	13.7952	11.51111	13.16392	10.83158	10.24068	12.4173
MTOR	42.1601	37.9489	35.3426	38.0284	35.9952	35.5235	38.4108	35.3578	35.9496	42.4404	38.1765	39.4984	40.6542	43.5599	38.9135	44.4028	40.7938	37.9776	44.5947	36.8203	39.9246	38.041	38.1194	37.5569
MTPAP	12.151	15.4198	14.9238	12.1929	13.3762	15.1472	14.7376	12.7383	15.2431	14.8711	12.7917	17.2817	14.0734	16.3151	16.3288	18.5969	13.1936	14.4695	7.21406	14.1698	18.6925	14.3763	13.6977	16.9519
MTPN	96.3443	134.734	168.039	138.196	211.801	209.879	115.07	146.113	202.596	176.591	184.614	156.653	199.294	114.011	215.857	149.761	128.708	144.367	133.054	197.298	210.585	153.259	162.487	132.61
MTR	2.61063	2.49757	3.39706	4.61538	3.80377	3.3637	2.49404	3.36377	3.3956	3.7965	3.49585	3.35528	1.81493	5.58745	5.30856	6.48401	4.36578	7.71496	3.26263	2.41084	4.33006	2.21809	3.33176	3.18364
MTRES1	104.06976	86.66504	105.61664	90.05725	95.91297	91.75847	84.169485	94.35434	82.11545	99.4791	75.381854	97.6597	79.985	92.640506	67.4243	73.637512	84.357649	81.34459	79.5159	79.03016	86.4595	111.378176	71.828644	88.5524
MTREX	24.2415	30.5322	36.8394	27.1611	49.5396	50.8958	47.4937	38.0795	43.4556	44.6963	41.7051	46.9181	47.3498	47.1375	51.519	48.9557	37.9947	47.3531	29.5619	48.4409	53.5897	51.1187	44.7927	49.4824
MTRF1	5.43497	3.6556	6.74363	5.60168	8.99814	6.65456	3.93381	5.14656	6.86707	7.47632	6.28211	6.30796	3.99841	5.50411	7.88093	8.52423	5.8344	8.2826	6.59738	7.94165	8.8061	6.60585	11.5473	6.44664
MTRF1L	18.079667	22.21511	18.9195100011235	20.40123	24.91069	24.51853	23.09659	28.8844171413	25.6327	28.280682	24.92661	31.23243	19.01896	27.72646	24.62402	28.28036	23.691629	32.22838	33.777815	36.02584	25.78251	20.61613	35.21495	26.80278
MTRFR	25.1525	24.1077	22.8337	21.2106	21.4993	24.6849	24.8667	26.3909	22.9478	15.2941	20.8258	27.4289	29.7681	21.4327	18.258	20.258	22.1072	18.0204	20.6804	18.2644	19.7266	18.966	23.6994	13.8563
MTRR	19.2216	20.1828	13.2236	16.9831	12.2377	9.97145	16.8022	11.6209	19.2857	12.0748	13.6795	10.1935	10.0888	16.6281	11.2995	15.1021	16.5846	19.6038	18.0481	15.4365	11.5952	15.2749	12.4713	14.6671
MTSS1	11.2031250061076	11.2620200393867	13.740556	17.343601	18.711898	18.706009	13.4321421274361	14.146800881	18.6884700126327	20.502387	17.304187	14.24436	16.7139340174728	6.615128486107	12.337204	9.59964000117397	16.1076800030421	18.5065041	11.357553	13.714977	14.865066	18.89162	15.908323	14.051684604
MTSS2	56.287713	51.151450263	59.560902516	59.8266368601	51.3091371732	34.4377198	48.994069	47.312201	41.109839988	52.14827	65.223071953	52.476634617847	49.1189708	48.368344	55.0413928	55.346486994	72.05276356	63.45682	68.364746812	47.93991	44.238137	47.270567	48.132199	54.267247046
MTTP	0.524217	1.34313	0.588071	0.295984	0.209101	0.219208	0.444983	0.117588	0.41672	0.0471187	0.362233	0.371454	0.175086	0.0958933	0.368604	0.340361	0.386452	1.01898	0.160912	0.354404	0.384063	0.518189	0.527808	0.493791
MTURN	109.747	98.9752	99.9152	122.319	106.78	131.807	148.1	125.071	148.435	124.28	137.174	130.951	130.521	118.057	136.399	146.376	112.378	119.794	122.145	117.071	146.799	156.562	120.906	128.985
MTUS1	7.593793	13.7208	15.614361	12.605164	14.881602	18.820687	11.133436	8.354548	15.2416	13.134585	13.270205	17.9004	11.708706	13.548271	15.951542	14.849522	8.751583	11.976439	9.843146	17.88756	16.60701686963	13.231991	14.333053	14.273102
MTUS2	17.80334055	22.56863819598	19.65516	17.66629789	18.242274678	15.40408	15.49014	20.91198	19.740062	18.66634	18.38796	19.17569	21.468862	18.25343	20.1480000630631	15.22254	15.14102211992	14.5316271506	14.87677	15.858734	22.2767	17.847919	24.0603000040577	12.55998
MTX1	48.5578	55.3217	59.6619	54.3756	58.8041	48.4971	46.8096	51.6457	47.6649	44.1003	46.2948	53.5046	49.2707	47.4238	48.7996	56.0161	49.1933	50.5096	52.828	53.5755	50.0857	43.9671	47.4454	56.7349
MTX2	20.3257	28.1167	29.9041	20.7498	31.7277	28.933	30.7487	28.8175	29.9115	26.9912	26.2906	26.4452	29.6025	26.2618	41.9595	31.002	29.3551	27.4152	21.4035	30.984	34.3843	27.7564	26.9141	27.6792
MTX3	7.983603	6.836969	9.903189	9.34269	12.91925	14.2259	10.97111	10.9276	10.3064	12.7889	10.8382	12.92264	11.4604	7.42809	14.64583	14.9142	13.69559	13.6965	5.60744146	14.834413	17.152476	10.6586	16.6959	12.6243
MUC1	0.492839	0.642666	0.445499	0.321782	0.171613	0.180007	0.365788	0	0.392114	0.156841	0.33871	0.304728	0	0.784486	1.67998	0.640184	0	0.1597	0.688568	1.17045	0	0.217631	0.25473	0
MUC15	0.0825297	0	0.746059	0	0.172436	0	0.55132	0.193308	0	0.157608	0.170164	0.153094	0	0	0	0.160817	0	0.160469	0	0.130679	0	0.21871	0.256003	0.238946
MUC2	0.0198505	0.0413756	0.00935259	0	0	0.011328	0.0114935	0.0365078	0.0245888	0.00969535	0.0214205	0.00960108	0	0	0.0379773	0.0100434	0.0229444	0.0601385	0	0	0.0131226	0	0	0
MUC3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUC5AC	0.0178282	0.0252113	0	0	0	0	0	0	0	0.0709344	0	0	0	0	0	0.0122442	0	0	0	0	0	0.0162037	0	0
MUC5B	0.023244	0.060036	0.0542798	0.0296642	0.0313626	0.0109574	0.0333525	0.0353139	0.0237842	0	0.0414399	0.455064	0.0262504	0.0287983	0.0551009	0	0.0221948	0.00969513	0.0216268	0.0157172	0.0507696	0.0128505	0.0298624	0.0419394
MUC6	1.0349	0.691669	0.783825	0.627589	0.573664	0.474736	0.738689	0.951397	0.584183	0.515765	0.747633	0.455939	0.454968	0.609605	0.903206	0.84209	0.511565	0.896394	0.840007	0.567969	0.772893	0.409791	0.779819	1.0137
MUL1	48.3857	51.8423	44.1709	47.6518	33.1078	38.5233	46.0903	46.7116	42.2328	40.1504	36.8155	42.2465	38.5165	36.2106	36.9217	43.2411	41.0059	41.5365	35.4909	35.9397	33.856	40.2512	37.2769	39.8976
MUS81	17.85357	17.82025	10.55084	11.31833	7.952133	10.09441	13.49293	14.1981	7.808458	12.972262	8.791852	7.133512	9.057908	8.987822	16.003461	16.9772	9.240139	16.45132	11.861	7.935353	9.68194	11.018547	8.928695	7.31093
MUSK	0.01194691140711	0.06639990570151	0	0	0	0	0.0744431201354	0	0.07969290469894	0	0.06920850729782	0.06212350514129	0	0.06412390363512	0	0	0.07371020376204	0	0	0	0	0	0.101313011163	0
MUSTN1	11.077	25.6816	17.4799	42.7309	11.7724	22.8683	10.1175	15.1629	33.1312	35.1783	10.1753	9.97824	9.64087	26.0778	14.7175	15.3327	10.6313	21.5195	16.3531	10.2197	4.49792	7.07271	32.2679	22.2382
MUTYH	20.529775	13.010403	13.331811	14.98243	9.08349	10.538377	5.908961	8.029263	11.211372	7.62396	14.44707	8.9405156165	9.57676	8.628259	8.416252	8.744443	11.6029	6.62475	11.027394	9.05712	9.01885000374905	4.882446	8.56651	8.47268
MVB12A	79.0364	78.7654	70.791	70.9221	62.72768	52.53993	76.09404	60.79508	58.10663	54.06423	62.40888	69.4765	58.5003	75.2866	63.064	70.26284	76.2045	70.5518	71.38316	57.10216	58.9822	62.82571	51.83001	68.0415
MVB12B	233.8652	200.8882	165.62918	193.7329	161.0124	143.4564	172.4795	166.762	159.2171	142.29089	169.12836	141.5898	160.0076	160.433	160.9181	185.57866	173.9244	173.0326	202.4748	155.78825	168.3409	189.223	176.4046	167.9605
MVD	187.524	159.13	188.186	168.191	151.743	134.286	185.246	185.398	153.31	147.105	155.798	134.147	145.363	155.345	141.132	143.338	156.928	116.176	176.995	139.745	103.706	166.668	99.6801	136.078
MVK	62.771384	57.0958	59.45947	63.1523	48.77321	42.84077	48.1128	48.2394	53.433417	44.0666	40.013	45.6545	56.434977	59.311689	43.2235	50.5358	56.0638	43.9096	56.308	49.068922	45.6277	50.888046	45.295242	57.0183
MVP	4.185608	3.41684	2.670748	2.77762	3.106052	1.81838	3.089125	3.761215	2.84364	2.60582	2.551086	2.778101	2.382846	3.255167	2.45545	3.0231	3.4415	4.07741	2.45681	3.31580000151768	2.57461	2.96601	3.45744	3.740862
MX1	4.9681050025	3.88941181997	1.05064265927	0.91977270901	4.392496479	2.649446	2.177064	6.563055	2.0030278251	1.447901	14.353103986	2.19118700117266	2.62012	1.65531265124	2.043923	1.177193	2.422046	3.6835537380332	3.760383	0.997569	1.4565985898	1.6844423117	2.60858	1.981145
MX2	1.10319	1.0563	0.482075	0.749893	1.51211	0.0834421	0.254136	1.16276	1.26977	0.287843	3.3852	0.706816	1.19981	0.510588	0.0727157	1.10882	0.0897555	0.376427	0.243698	0.420225	0.391995	0.693928	0.346617	0.756256
MXD1	5.68223	9.18657	8.30757	7.68137	10.185	15.837	11.1997	9.81184	14.3168	15.3237	14.0393	12.8125	13.2204	8.76147	22.6726	16.5886	10.4521	11.76	13.1094	14.8647	23.6131	13.3357	21.4207	12.4192
MXD3	7.23244	8.71946	7.39518	4.56472	6.48329	5.56334	9.41896	11.5706	4.37389	5.37134	5.67452	3.92495	7.53292	8.89683	3.01008	5.76837	9.22935	7.81172	4.75129	6.57997	6.07226	9.11263	8.04477	6.49729
MXD4	39.5062	35.5175	27.5138	30.0559	22.6271	30.2129	29.6787	27.4808	24.3773	23.3746	20.518	24.7327	18.9049	23.7973	19.5512	22.0878	19.0119	22.7212	24.2838	23.1018	24.1066	25.6028	21.9977	22.0937
MXI1	20.4321	31.5261	33.17931	24.4773	33.16135	43.78406	31.65434	28.05253	37.86104	39.80707	36.46186	32.69482	32.65713	24.08329	37.85644	29.43651	25.692497	31.77384	18.42733	40.34343	38.82663	33.47078	36.75922	27.63065
MXRA5	0.0917383	1.65201	0.230059	0.0179528	0	0	0	0	0	0.0341021	0.752571	0.0168689	0.111268	0	0.0333856	0.0176499	0	0.0528419	0.0784386	0.0428425	0.0461904	0.0233804	0.163057	0.178084
MXRA8	12.77241	16.20892	8.3513	13.48335	6.96453	8.5299	8.26812	13.14016	8.73354	8.00893	12.08294	9.85443	5.26376	14.00752	8.03051	8.10165	10.49578	12.11571	11.52707	7.57726	6.02747	8.9038	11.08644	11.19354
MYADML2	17.626	16.3257	23.4321	19.4933	19.5163	11.0006	16.2386	11.365	11.1333	9.64262	13.1375	11.2647	17.1701	10.385	13.7308	18.9762	19.0316	13.3799	16.5494	12.3554	10.3035	13.634	13.2379	9.86108
MYB	0.292336	0.169812	0.385637	0.168287	0.222821	0.233584	0.14224	0.0501322	0.507398	0.321062	0.0882468	0.237503	0.0746244	0.0817655	0.0785094	0.331549	0.235542	0.0827169	0.0915863	0.268454	0.326895	0	0.641618	0
MYBBP1A	24.1387	27.2673	26.3993	26.0586	28.8923	26.397	26.8613	26.0553	27.1778	27.6883	31.5061	34.1173	29.7679	31.2415	35.4072	34.4332	31.489	34.4584	38.1658	31.3372	32.3989	28.4655	25.9546	28.4923
MYBL1	0.628127	0.51509	0.466961	0.368224	0.869386	1.09987	1.05234	0.77597	0.887118	0.835526	0.950193	0.932046	0.727808	0.412696	1.1078	0.501671	0.698435	0.890036	0.278029	0.63161	0.986634	0.739763	1.03234	0.684398
MYBL2	0.503615	0.344616	1.57127	0.616169	0.508417	1.21838	0.927639	1.06136	0.413789	1.11555	1.29348	0.709582	0.364968	0.399482	1.53893	0.878632	1.53029	1.28148	1.41044	0.71198	0.357233	0.542098	0.526347	0.886022
MYBPC1	0.139555	1.7329	1.10856	0.858443	4.21508	0.866394	3.34129	3.76582	2.86986	0.520816	0.695623	0.807542	3.70204	2.88145	1.45565	7.64715	6.94844	4.33344	3.65417	0.404457	1.16123	3.37241	4.39942	2.114
MYBPC2	0.152226	3.17364	0.417219	0.74486	4.03243	0.689215	2.75131	4.19118	4.0422	0.749908	0.303786	0.895447	3.08262	3.41791	1.27401	7.41848	9.26745	7.68798	3.7388	0.0990096	1.07156	3.03645	4.9214	3.42419
MYBPC3	0.712025	2.39263	4.53706	2.01606	0.411952	1.33476	0.438246	1.13771	0.895268	2.93177	3.0411	1.46369	0.470305	0.859074	4.12117	1.00985	2.2585	1.11203	6.43544	2.67803	2.10306	0.508997	0.645945	0.554109
MYBPH	0.351086	1.77487	0.632153	0.0982019	0.626169	0.656594	0.333366	0.351629	1.07112	0.283905	1.13485	0.185357	0.961713	0.382342	0.461857	1.16619	1.64276	2.52142	0.530105	0.472916	0.645837	1.17558	0.304819	1.282
MYBPHL	3.8369956	12.327124	2.204785	2.419956	3.635888	1.087698	2.213555	2.166287	1.082866	1.407548	4.81571	2.979218	7.028354	1.50524	3.689312	2.305325	1.994747	2.11565	1.190965	2.917699	3.74853	5.31054	2.1755947572	1.919885
MYC	2.04568	1.479422	1.193518	1.298728	2.11384	2.0246559	1.762026	1.508947	1.78679	0.832605	0.607251	1.81688	1.078304	2.106157	1.951311	0.888254	2.40771	1.623013	1.404494	1.69641	1.59161	2.06656	1.874397	2.37807
MYCBP	4.39669	4.49845	4.38529	3.50618	5.79966	3.54182	4.31399	4.05263	2.94999	3.75748	2.56373	3.15079	4.14917	5.3705	2.78015	4.03312	3.80393	4.02478	3.2906	4.07272	3.65726	3.4912	3.65826	3.95458
MYCBP2	41.88136543232	38.8747457713274	40.1949447599228	43.38765623317	52.1558550004757	60.2878500043405	54.7524383098082	46.4901500267879	64.1874800049391	66.1528910378225	51.980482616378	54.8612190078871	54.3163300518897	49.195441362145	67.42789	62.3141700064881	56.1549710152728	54.813920011607	53.24729	52.1564000594198	67.970318634414	60.5974300015749	67.8156900750895	56.6252801572311
MYCBPAP	1.5172	0.609036	0.923181	1.25835	2.08032	3.52298	3.57578	1.67977	2.91589	3.65452	1.58406	2.60583	1.6526	4.20741	1.6927	2.23272	2.42203	3.31742	2.62657	3.61653	1.30661	2.64435	1.3083	1.51194
MYCL	11.9891	6.21788	7.1052	9.69897000048359	6.96963	7.50012	7.57823	8.06174	6.021793	4.23935	5.91089	4.43556	3.5637	3.08421	3.09866	5.45329	4.26183	4.4767	4.28977	5.90418	5.64301	5.83717	3.47017	4.07965
MYCN	22.4957	12.7568	8.64396	19.619	10.9119	15.3664	6.75864	10.8067	8.77944	7.83109	7.73818	7.32933	6.13681	5.82545	9.47576	7.7766	9.22837	11.6912	12.9737	10.0202	5.18721	5.98915	11.6729	8.7215
MYCT1	0.8266	0.223677	1.45933	0.22503	0.240827	0.252301	0	0	0	0.221701	0	0	0	0	0	0.449925	0.248697	0.897962	0.238788	0.54936	0.306151	0.30971	0.727113	0
MYD88	4.41078	8.83182	2.64995	2.20386	3.59705	5.51179	5.12877	2.69939	3.29772	1.74244	3.16367	7.78492	6.85502	7.88107	2.9575	3.85573	3.54263	2.22341	10.3505	8.53465	5.51194	4.72232	2.32865	4.70559
MYDGF	108.623	105.67	80.784	92.4683	73.4712	53.5042	84.9873	97.4023	88.5939	65.3914	85.3786	61.1404	72.2493	89.3628	74.3097	75.0656	94.5407	97.5274	85.1341	82.2417	57.238	89.8911	77.0383	93.3784
MYEF2	13.39026	12.01878	14.83842	14.1661	21.10565	22.815499	12.76014	15.064559	17.20943	21.44222	21.19574	16.85742	15.6574	11.844351	31.96998	24.88321	16.64745	23.07593	12.65015	24.06329	24.921314	12.38433	28.06237	18.67315
MYF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847539	0	0	0	0.43611	0
MYF6	0.99074	2.42594	0.526186	0.85605	0.760102	0.159442	0.485913	2.04618	0.694332	0.138618	0.90058	0.944849	1.14671	0.556232	2.83656	1.84226	1.90333	2.40394	1.53052	0.460355	3.23049	0.768181	0.224576	1.88728
MYG1	42.942	55.0615	42.6044	41.0161	40.1947	38.5079	46.8187	45.4128	44.9276	34.9496	42.7215	42.2358	39.1622	47.7253	46.6637	54.0491	49.1247	53.4163	57.8315	45.1417	39.1854	38.907	34.6146	47.8248
MYH1	0.872852	6.08532	2.73319	4.13129	14.0417	4.04877	15.0038	11.5533	6.54541	3.7055	2.08627	3.62113	12.1645	10.871	8.10606	28.6986	25.9533	13.3791	14.521	1.80564	4.2925	14.305	13.2699	7.32309
MYH10	43.040935	42.17519891535	53.9708716	51.8480146	68.213465	73.89651	58.98252032	59.723252202614	71.67933858	70.663308576173	66.09251	61.7124766048	68.0971300888721	51.80888420007	58.895385	68.093391	48.55582677858	68.113915	58.61693	67.8589553	95.792938	73.067656664	71.5008886760278	66.6049650162357
MYH11	4.90212	5.47738	6.8409	26.7267	3.02549	16.982	4.23017	5.71223	20.6574	30.2961	5.39197	6.76226	2.71648	17.651	6.63479	3.17526	3.43884	8.78787	9.76577	6.20363	3.08952	3.63868	21.1965	12.4686
MYH14	10.05687	8.585079	14.2576	10.084808	10.520939	5.676467565	6.953071	6.242261	6.25211850204272	6.26699900348688	8.441633	11.514981	7.492609	12.959784	6.2023085	7.053277	9.624886	9.750928539	7.3607761	7.320305789	5.29863660036508	8.08709	7.13379209272	9.1878727745
MYH2	0.0767587	1.60663	0.73345	0.0507128	2.78848000178353	0.1442588	3.099913234	1.872160175872	1.374892	0.231189	0.542297	0.1957205	2.98072	1.644206	0.1439628	7.685877269	4.59029	2.926194	1.872672	0.678768	0.0643571	3.537892	1.79923000053968	1.423364
MYH4	0.296762	11.3269	1.57475	1.1863	5.24018	2.10972	8.91823	10.5582	10.1425	8.3864	3.66067	1.92161	5.10324	9.95022	9.99761	15.8504	21.8655	18.8983	4.10971	4.24804	2.10386	5.82917	14.8801	11.6137
MYH7B	1.515848332526	1.14491983	2.43725098	0.9426	0.585604579	0.726122	1.797887	1.19260404	1.047293467	1.002589379	1.87829622	0.891754548	0.933772045	1.945126692	1.741679207	1.931920164	1.033842124	0.93134258	0.718678407	1.80258539692	0.815432086	0.653450616	0.754978	1.64697233
MYH8	0.448528	0.68229164	0.50516774	0.36359	0.94054268	0.369048532	0.72704614	0.65235164	0.39344309	0.47643937	0.46704743	1.136316	1.15581115	1.21761	1.28255	0.94769098	1.04488	0.31897189	0.66923809	0.814134	0.97021702	0.71954858	0.71765667	1.21481095
MYH9	76.83583	58.71513	49.082911	49.216197	46.2628	51.26774	47.9766	57.2978	54.9948	45.00009	60.9975	77.45966	63.8932	104.9351	57.0579	68.37183	59.38637	59.88478	75.17664	58.5881	58.986783	65.8938	58.1525	61.262
MYL1	1.111947	52.34075	8.41049	9.774271	40.04501	11.933313	50.82369	38.73932	53.0334	13.070729	7.957787	6.540667	36.6847	34.90859	16.30674	90.0314	100.0228	87.1857	33.38288	6.03874	7.58835	52.10163	49.45732	45.10878
MYL10	0.142321	0	0.435519	0	0	0	0.533314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL11	6.130298	83.92522	18.0627	14.18456	83.206874	14.04579	86.27397	65.03609	89.97436	18.04526	18.480937	13.60723	75.50801	65.50638	24.741155	177.884671	147.51248	160.35692	65.1678	9.921103	14.455556	72.42381	82.3834	83.22603
MYL2	17.2308	68.7172	92.5575	56.3159	17.9767	51.6469	7.78877	15.6494	13.9587	73.3416	58.6359	47.9787	12.2716	13.6093	108.933	23.6187	31.0229	29.5641	165.63	55.243	65.2433	13.0459	12.5774	15.586
