sample_HFS156	sample_HFS157-resub	sample_HFS158	sample_HFS159	sample_HFS160	sample_HFS199	sample_HFS200	sample_HFS201	sample_HFS202	sample_HFS253	sample_HFS254	sample_HFS255	sample_HFS256	sample_HFS257	sample_HFS303	sample_HFS304	sample_HFS305	sample_HFS306	sample_HFS307	sample_HFS348	sample_HFS349	sample_HFS350	sample_HFS351	sample_HFS352
ABCB10	10.6923	13.6875	14.6656	12.3193	14.9185	14.4741	12.88	13.7396	19.0416	16.6955	13.4179	14.4099	13.7132	10.4531	17.6896	15.172	14.4972	14.7008	9.41934	16.8714	18.4517	18.0005	18.2462	15.3148
ABCB11	0.09012296	0.1712493	0.4039754	0.4070308	0.6104841	0.1882246	0.3438039	0.04040566	0.1635102	0.1938405	0.177814	0.1594903	0.3908384	0.1977105	0.410955	0.467528	0.3800119	0.4997957	0.1848165	0.2702918	0.2191221	0.13307087	0.1547883	0.1931428
ABCB5	0	0	0	0	0	0	0.0436132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	49.446	32.3365	41.6188	48.3269	38.0531	35.0723	42.6273	40.658	41.5302	36.2551	34.948	40.794	36.1116	38.1495	36.8027	44.5878	42.0824	50.1866	43.6492	36.3099	36.6984	42.9648	36.5203	39.3019
ABCB7	7.83734	8.48713	10.5722	8.37407	10.4685	13.2948	13.8873	11.101	10.5329	14.1592	12.3802	13.0066	11.5151	12.4128	12.937	15.3874	11.5893	11.982	9.62257	14.2757	15.0703	13.8478	14.0283	13.0062
ABCB8	29.8829	24.6191	22.4516	27.5351	18.9629	16.6762	20.5959	23.1204	18.3813	17.3533	20.2312	17.5487	18.2677	23.1133	20.5045	23.5354	16.5328	23.5608	23.3397	18.5761	14.1965	17.7517	16.2026	19.7532
ABCB9	50.382534	66.01941	52.38442	53.47707	41.492463	43.26204	40.01536	46.73464	44.718251	45.96824	41.50714	34.20146	45.03201	47.81339	39.59832	41.1207	54.23307	47.85226	50.35618	44.776405	35.12843	45.66739	35.629	44.95052
ABCC1	3.872308	3.29316000051597	3.36548	2.86259	1.91923037	2.92595	1.7091200004958	2.1323978	2.09891455	2.81471510391	2.3094400417792	4.144098	2.90645138413	3.07946	3.20346	3.18102	3.951675	2.69414	2.20608	2.290134	4.70993	1.9156954	3.97464	2.95535
ABCC10	18.6547	15.6576	12.4652	15.0357	11.9569	9.37854	10.8656	10.2032	7.36561	8.57992	12.0817	10.7796	10.3721	11.4847	14.6032	11.912	10.9102	12.1192	10.0189	8.11953	8.79704	8.54923	10.1411	9.94911
ABCC11	0.0105284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676178	0	0	0	0	0	0.0449176	0	0
ABCC2	0.0271826	0.179134	0.378993	0.413772	0.656946	0.491882	0.332772	0.281635	0.356056	0.140646	0.185906	0.111153	0.288079	0.229673	0.495478	0.58168	0.662459	0.406343	0.257824	0.141243	0.343278	0.154428	0.493892	0.378199
ABCC3	0.0784531	0.110807	0.22599	0.0274176	0.0580341	0.121666	0.0308657	0.0979689	0	0.0521697	0.0287416	0.0515512	0.0728743	0.0798933	0.102112	0.188831	0	0	0.0299066	0.0218328	0.176814	0.0357949	0	0
ABCC4	0.236083	0.137227	0.329831	0.323967	0.495498	0.31964	0.162194	0.214425	0.607455	0.445894	0.213734	0.541701	0.0638213	0.174863	0.234897	0.248088	0.362907	0.813475	0.627438	0.243664	0.232684	0.1413	0.413467	0.256378
ABCC5	28.41608	24.58385680514	27.91214187784	30.77073	24.892	29.23153	23.25059	26.504019	32.54675	33.50938	39.871396	31.45886	28.545327	29.7399012612444	26.08865	34.040007	25.68768034117	39.123800284327	24.250719614	28.06882	34.985571	28.80414	33.36711052775	25.56206
ABCC6	0.0458519	0.120863	4.57559	4.75607	0.15831	0.331893	0.303123	0.320673	0.144149	0.142356	0.0940777	0.64687	0.265063	0.174339	0.529354	5.00419	3.65395	0.323139	0.16308	0.166782	0.386068	0.273541	0.727152	0.0850689
ABCC8	35.007348	33.2479000139847	16.3655300017118	30.589375	33.72145	25.2447000008615	34.5886	35.17724	31.54177	25.4765	26.961	32.339067	24.93285	35.89155	26.308599	44.60042	38.2887	28.97184	40.32623	24.914893	28.34757	31.54422	30.66331	34.00192
ABCC9	0.774742	1.31052	1.42028	1.11944	1.53739	1.69858	0.972255	1.30964	1.51293	1.28744	0.987972	1.66098	1.1304	0.972647	1.8448	1.21657	1.25547	2.52454	1.13666	1.96879	2.32543	1.73998	1.33851	2.22752
ABCD1	7.14582	6.48028	5.09054	6.92904	4.32691	3.3128	3.25885	3.66391	2.32512	4.29268	5.34253	4.49103	3.13444	5.12851	4.24101	4.83818	5.18806	5.01419	5.44114	5.45575	3.56919	3.00993	3.78345	5.57199
ABCD2	34.9877	36.6599	37.4279	40.0068	44.2166	54.3115	40.6148	45.7329	57.3136	42.1115	44.696	42.7781	34.702	38.1804	33.2877	40.4548	38.771	36.2792	42.2671	34.1118	35.9336	48.8177	42.0726	37.9001
ABCD4	16.370155	22.45423075448	10.570823	17.41971	10.203759	8.747494	9.88708	9.701036	7.85307	11.03895	12.45449	9.71938	5.769048	8.59233	17.34528	9.931932	10.69218	9.65042	9.607096	9.54538	6.94882	4.87812	7.57233	9.611222
ABCE1	43.96038	46.00008	54.55593	45.40058	79.70731	85.73325	63.78407	59.02174	75.01335	66.99672	61.5828	72.87818	78.34822	63.628184	81.69285	72.00491	51.7833	69.362896	53.5936	72.5937	96.06284	73.82336	84.25657	67.0465
ABCF1	90.9851	77.2084	86.7186	83.14	86.1457	69.0781	72.5527	78.6604	74.2972	63.9173	80.4917	84.1817	70.8359	75.1744	86.684	83.0457	85.3134	76.578	83.5664	80.1008	71.062	75.0004	78.0921	88.7379
ABCF2	98.33874	105.8238	100.14984	91.19017	96.75475	100.39928	119.3856	109.72317	103.40351	101.81221	118.32	113.65267	94.52274	108.01566	109.98685	120.37775	115.1324	110.12748	116.4266	103.77286	102.6999	95.4755	94.1643	98.407
ABCF3	108.543	97.5579	101.974	103.845	93.3379	98.5011	96.8631	95.5907	96.8106	85.1862	95.5085	95.4112	91.5533	94.847	88.3046	100.972	101.022	103.796	101.124	97.911	82.4245	88.9212	91.9808	83.079
ABCG1	49.84681	75.6038	66.1504	66.4759	62.5527	67.482	58.6346	62.0624	65.572	64.3889	73.2663	66.9097	53.3086	54.3325	86.34535	95.7675	77.1409	76.7637	80.6546	68.2668	53.202	59.2668	85.069	64.6364
ABCG2	16.578097	18.653768	17.03983	12.526019	14.12578	14.01782	12.327763	10.235008	11.11296	13.09509	17.329741	14.668633	16.6306	16.53928	12.411814	10.990608	10.89983	14.449307	12.81989	17.74762	17.479017	12.21373	13.26351	17.001416
ABCG4	59.397	56.4851	57.2837	60.0946	57.306	45.6648	43.6172	47.9202	45.2595	38.68	53.1721	44.902	50.4158	55.3231	48.3016	43.0335	51.9133	48.3494	51.0033	48.6335	46.8891	52.3026	43.8771	51.194
ABCG5	0.0688738	0.376836	0	0.0749068	0.0794967	0.0833498	0.0846184	0.268033	0	0.143761	0.157278	0.0706035	0	0.218582	0.421334	0	0.502062	0.516831	0.243433	0.119931	0.0978887	0.198043	0.115409	0.107915
ABCG8	0.0923397	0	0.0691742	0.0753213	0.239816	0	0	0.0898398	0.273306	0.216851	0	0	0.0669527	0.14653	0.0706152	0.0743992	0.0841377	0.222732	0.163177	0.0603001	0.0984418	0.0995802	0.348188	0
ABHD1	0.114371	0.186037	0	0	0.199462	0.209224	0.212653	0.670324	0	0	0	0	0.167251	0	0	0.5584	0	0	0	0	0	0	0.596179	0
ABHD10	12.110129	11.927378	13.369854	13.59664	25.45142	15.43191	18.186104	19.32412	24.54447	23.16223	22.198742	24.57835	20.744144	29.78414	26.74798	19.75859	19.85038	18.98136	29.54204	29.73646	27.86304	23.41011	24.27286	22.1897
ABHD11	17.96838	24.9712	16.458015	16.043919	12.08062	9.48842	11.82554	12.237042	8.24766	8.67413	10.7482	13.75067	10.043954	10.027732	9.91073	12.40322	8.1781	11.5898	13.40239	17.09103	10.66709	13.794967	10.7393	10.42927
ABHD12	238.044	293.821	235.177	237.737	198.912	215.981	204.374	207.099	200.924	181.857	188.474	193.764	185.401	237.112	174.581	182.677	215.925	198.328	202.823	186.325	159.268	187.826	186.874	186.092
ABHD12B	1.31913	2.27797	1.89452	0.893826	0.916124	0.771883	1.73987	1.5819	0.647541	1.69668	1.08927	0.672469	1.54939	0.703842	2.61392	2.33343	2.20098	1.2081	0.638396	0.791079	2.49325	1.08404	1.46333	2.31718
ABHD13	15.0986	20.4026	17.6892	20.0791	20.8784	26.8581	16.1341	23.7063	27.1022	25.4241	23.9865	22.1776	24.8724	15.8955	29.4379	26.6934	18.7361	22.2665	16.4295	29.4961	26.6733	22.3383	28.3977	20.9606
ABHD14A	389.719	343.4469	295.9299	343.318	256.1455	327.293	330.604	304.3407	307.6303	359.662	359.426	356.0853	326.7607	278.0208	330.8838	358.545	293.8549	348.869	277.3939	314.351	329.0236	271.2058	341.368	311.753
ABHD14B	9.58061	7.78947	9.76346	8.27264	7.39858	8.72735	9.55038	7.37701	6.11508	9.54722	8.50515	9.77376	6.42983	10.761	7.6054	6.62951	7.28936	6.95928	5.36742	6.77118	5.25245	6.00525	8.21532	8.56127
ABHD15	0.0257008	0	0.15411	0.167722	0.890463	0.186733	0	0.200102	0.203012	0.241812	0.0880634	0.39541	0	0	0.157437	0	0.0936197	0	0.272179	0.336005	0.219727	0.111121	0.129567	0.121132
ABHD16A	143.389	145.737	137.919	152.423	149.639	144.584	143.687	151.407	148.437	125.343	140.679	128.386	135.866	131.792	144.215	144.783	137.898	147.806	153.819	142.612	141.508	156.632	150.158	145.149
ABHD16B	2.84419	2.81536	3.632	4.05208	3.09269	2.08482	1.2938	2.10853	3.40147	1.20276	3.16603	1.86363	1.01791	1.21378	2.64091	2.26312	4.05384	4.92729	3.9228	1.66892	1.91632	0.968856	4.68471	3.01925
ABHD17A	251.89	278.698	233.901	208.287	176.475	134.25	196.207	195.095	149.896	151.77	168.366	186.89	184.269	243.722	158.11	181.401	196.57	175.416	191.561	144.662	148.308	180.864	144.571	180.19
ABHD17B	16.9575	22.0291	25.5042	20.7185	33.1999	31.4392	23.0642	22.1818	28.3438	30.3562	27.9797	23.173	26.0241	18.6677	35.2911	26.9901	22.392	29.3296	15.3996	34.0452	34.9319	27.9497	29.8102	26.5694
