Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RBM46	12.5527045097004	1.02111437830687	0.832459647361997	1.22662327422441	0.219964217344867	0.707500748976767
RBM47	17.5628221956855	2.303053161339	0.607711668182253	3.78971357951335	0.000150821086926382	0.0277938900088941
RBM48	129.864433665385	-0.160000751850504	0.184996990481473	-0.864882998550874	0.38710300996736	0.810376877290866
RBM4B	489.656380604573	-0.0209117537686918	0.151969520994338	-0.137604919933062	0.89055266697868	0.975798778726321
RBM5	1852.16746224518	-0.235955093467759	0.129632070094562	-1.8201907390327	0.0687299629443896	0.488142014912864
RBM6	685.180069753536	0.0431740318317024	0.160403589202849	0.269158764129049	0.78780751108959	0.951490932774376
RBM7	427.775672636997	-0.401335714536713	0.197539569866256	-2.03167251406104	0.0421868202631155	0.405948176264091
RBM8A	624.135248592703	0.183230135732037	0.151229877208789	1.21160010914422	0.225665492777323	0.710970220505358
RBMS1	171.909355699537	0.216464205163434	0.313075139525592	0.691412947995315	0.489306069483828	0.85360607235587
RBMS2	81.9752183431105	-0.357081764131536	0.311276045501234	-1.14715465353764	0.251317709197652	0.73446929536057
RBMS3	130.86952732987	-0.239114864077275	0.271155517059942	-0.88183661785652	0.377865166493167	0.807198461759037
RBMX	762.020633372619	-0.163324079767911	0.184146447248283	-0.886924956785634	0.375119304191386	0.805287087903523
RBMXL2	1.03748423007928	-4.9177614673715	3.57014170605933	-1.37746954386291	0.168367124708144	NA
RBP1	56.0430714229036	0.864253551244773	0.559635993199693	1.54431373561847	0.12251234662297	0.598126854883346
RBP2	0.566725222105055	-0.663791788806418	2.23003039616959	-0.297660422004372	0.765962353493663	NA
RBP3	0	NA	NA	NA	NA	NA
RBP4	106.829791772775	-0.835015833953105	0.523063416890339	-1.59639502016286	0.110400627267439	0.575891080976339
RBPJ	265.617495355702	0.266288496054309	0.194952042625898	1.36591795842479	0.171964715403432	0.658468381022617
RBPJL	1.87009213465587	-0.193621219217567	1.49651224428513	-0.129381647197987	0.897055669030342	NA
RBPMS	34.8797198247848	-0.287790750316895	0.297446567230424	-0.967537642127004	0.333275333181863	0.784805843478293
RBPMS2	43.5412028278794	0.385997764643381	0.365524857522142	1.05600961658264	0.290963821369779	0.764763133154926
RBSN	2753.47765915918	-0.114843733803366	0.162191578094402	-0.708074581631621	0.478898943470246	0.849818375168668
RBX1	1009.55847102437	-0.110724044958882	0.0877668780972402	-1.26156982405375	0.207103620191011	0.695569282128856
RC3H1	796.854228627709	0.0611530151446774	0.263025603889089	0.2324983356771	0.816150979741766	0.95775523600442
RC3H2	933.55688649581	0.0567405613298909	0.204468084987855	0.277503265770114	0.781393698532405	0.949771392522572
RCAN1	1278.32171007791	-0.144660025733241	0.114838938419873	-1.25967749026325	0.207785728795211	0.695821931113585
RCAN2	4219.73410281137	-0.176580669559278	0.381053511044036	-0.463401240092162	0.643076789940927	0.913364482754874
RCAN3	185.338533116744	-0.117324490380062	0.224453134552382	-0.522712639384775	0.601174241215471	0.897206052803652
RCBTB1	333.568633066913	0.250193032087391	0.182335720881799	1.37215588299114	0.170014915906524	0.657635144861168
RCBTB2	362.795456771902	0.029669007348521	0.184871945814229	0.160484097345598	0.872499747743449	0.972280024155733
RCC1	244.518533020883	0.473493278847242	0.18414906509656	2.57124997403034	0.0101332155239448	0.230201146511098
RCC1L	153.341791876676	-0.187186162687827	0.281509321631421	-0.664937706513708	0.50609033715064	0.858978615082325
RCC2	1907.16754101438	-0.116708930087409	0.160701583857419	-0.726246296308804	0.467687795207006	0.845162616358564
RCCD1	137.266595456895	0.303726722088898	0.239438574349841	1.26849536635282	0.20462110441223	0.694544303299684
RCE1	341.593465514906	0.153894104937257	0.220217716635691	0.698827084797389	0.484660099835434	0.85244547933156
RCHY1	374.480208084844	0.0847682947828339	0.250613522358951	0.338243100312126	0.735179998536896	0.937512466348537
RCL1	189.198115558262	0.280250579542243	0.181696465104672	1.54241074189746	0.122973812874568	0.599051505733495
RCN1	1439.84739505027	-0.747830644468758	0.362860058550446	-2.06093403461432	0.0393093337664227	0.397018678870248
RCN2	1289.58527275949	-0.102203998650871	0.149932748140227	-0.681665612873865	0.495450415976084	0.854409882847459
RCN3	68.3991255087863	-1.22699411455682	0.283585736349956	-4.3267130792596	1.5135090399016e-05	0.00767641506438356
RCOR1	467.034172435435	-0.0219399461755201	0.216413368437976	-0.101379810008401	0.919248963169118	0.981129373278744
RCOR2	614.524217929166	-0.18851912004409	0.264563149049738	-0.712567569297598	0.476113385782103	0.848772379671168
RCOR3	1723.28012770027	0.0806855894155864	0.138637213584483	0.581990847402729	0.560572845868308	0.878643706980501
RCSD1	42.7644964129377	-0.0345734978980154	0.277223345911178	-0.124713514961661	0.900750357547543	0.978035117428885
RCVRN	26.3242146742942	0.254345260306554	0.52522565370588	0.484259019931621	0.628202055380106	0.906931471472675
RD3	5.28116247769049	1.06653624642707	0.846707393656955	1.25962788847357	0.207803630091234	0.695821931113585
RD3L	1.92059980001975	0.342820032631947	1.02379771512674	0.334851335929685	0.737737233187654	NA
RDH10	94.8460076362823	-0.0115639946864587	0.27879137	-0.0414790267233118	0.966914012712384	0.993034147706808
RDH11	146.429848703252	0.382627955341015	0.209662530266366	1.82497060802855	0.0680054648581654	0.486185196166893
RDH12	15.2433309399952	1.0025203475275	0.500624654151714	2.00253890657109	0.0452268030303717	0.418586302918705
RDH13	114.851106364474	0.465038263264156	0.218100116718864	2.13222381656769	0.0329884514476937	0.372105150600617
RDH14	312.170617939005	0.0982159055042835	0.160220049798941	0.613006334897126	0.539872150999162	0.87025791917646
RDH5	5.79493753860603	0.688264537273974	1.01437549528234	0.678510611183879	0.497447998149653	0.855031516819557
RDH8	0.242323122801052	-2.13490882643358	5.34544768258948	-0.399388218387608	0.689607173690176	NA
RDX	560.888324699955	-0.233912777685627	0.224007988761733	-1.04421623076323	0.296385359250409	0.767807131522501
REC114	12.1291707983713	1.226736964257	0.848175855645856	1.4463238443906	0.14808639088814	0.63261114814733
REC8	2.49084649480129	-0.867044202757503	1.53806141573453	-0.56372534535198	0.572941065573691	0.884099474341098
RECK	191.310485534523	0.656167872185711	0.293840482587306	2.23307512432617	0.0255439907193976	0.3406494591586
RECQL	102.166252308809	0.525500424511922	0.303306271474281	1.73257355331831	0.0831714932581944	0.51860060076501
RECQL4	285.150212542907	-0.0143267769695119	0.245233070685325	-0.058421064212402	0.953413236610309	0.990608925472537
RECQL5	563.904310073286	0.133226480786598	0.205135596931422	0.649455690672433	0.516043877534645	0.862599202809748
REEP1	2173.9237954613	-0.327472000886447	0.158446235481359	-2.06677047196223	0.0387557871009227	0.395764942841674
REEP2	2348.95689539231	-0.0873465413155012	0.160539312691599	-0.544081943861917	0.586385085051297	0.890146881051526
REEP3	146.698145461685	-0.610769422406417	0.312406725726929	-1.95504568919007	0.0505776777482662	0.436797960066289
REEP4	8.86803905794665	0.268427111613994	0.623459045679033	0.430544898617422	0.66679931356743	0.920232631733624
REEP5	8303.66077267085	-0.249377298720715	0.230272546016559	-1.08296582912138	0.278823590562591	0.756840170706579
REEP6	58.1117480325381	-0.306243907106479	0.379748365246997	-0.806439039987152	0.419989744160676	0.824013514869373
REG4	0.136746714694221	0	5.37037027607927	0	1	NA
REL	1.24297829690968	0.443623176640828	1.74406496590283	0.254361612275826	0.799216204802625	NA
