sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
ABCD2	46.6893	44.975	41.6556	41.759	47.6491	51.1279	45.7331	44.7795	59.6588	61.4759	51.8975	32.3411	43.1186	49.0284	37.8637	43.3996	38.0912	38.9427	52.515	40.3513	49.3935	51.1831	31.3934	42.6602
ABCD4	10.62643	8.727132	8.27646	9.41159	7.771061	5.96981	9.937482	7.13327	5.441004	14.64149	12.6322	15.00793	8.020292	8.955614	13.47391	7.885489	19.83712	9.17671	10.19675	11.10342	7.84196	7.099448	8.9161274	6.85749
ABCE1	38.1688	53.2299	63.365	44.30172	48.7041	55.8864	51.1429	45.66743	60.00633	44.47896	39.841745	40.248	57.0864	49.1643	54.1379	43.27386	35.2098	62.31854	50.46891	50.8204	53.24414	43.67699	46.5688	46.99229
ABCF1	86.5885	86.1954	88.2067	83.6063	103.12	78.2986	82.412	75.837	72.4975	65.9548	102.048	65.5454	83.9453	88.4218	90.4467	85.0093	92.541	82.1521	88.1797	87.6881	81.1816	77.2481	77.0824	80.4544
ABCF2	94.28591	96.97435	94.93858	95.48851	87.64571	104.40948	106.7272	103.523	99.05328	96.9478	122.7854	108.8402	92.79521	113.55048	113.4849	127.2143	118.1072	114.2166	110.30078	110.316	101.67637	114.9185	112.7025	103.7391
ABCF3	103.238	99.7305	98.3956	102.362	98.4567	85.6716	92.4794	100.481	92.0583	87.3406	114.892	107.43	87.2413	98.5574	93.4849	110.4	120.041	97.3993	98.0596	101.262	95.8059	108.741	95.4234	98.28
ABCG1	54.5966	73.0554	75.4073	76.8941	78.5053	59.9078	61.1609	68.9841	67.62156	79.1126	88.89444	57.1879	56.4379	70.5018	72.4526	105.4447	81.8287	84.613	95.7372	73.13	79.5286	90.7746	77.6622	77.2133
ABCG2	18.920257	22.7732	15.2697	16.02157	12.192365	15.3324	15.540254	11.58235	17.22132	16.96714	15.63891	5.96715	23.28194	22.2202	18.226797	11.56592	13.04753	17.55681	18.054386	20.35422	15.4812	16.168043	22.8211	21.816712
ABCG4	53.7646	49.4176	47.7814	61.8292	53.0032	45.9606	44.6646	46.0726	40.795	34.1881	54.7036	44.0997	43.8892	46.8769	55.2473	55.7911	49.885	52.231	41.6312	41.286	47.4176	50.451	52.0757	41.2412
ABCG5	0.147851	0.0732476	0	0.240467	0.312356	0.225	0.380625	0.152888	0.212456	0.148771	0	0.222828	0	0.0697701	0.143632	0.147248	0.287277	0	0.188694	0.328308	0.258825	0.0588281	0.178168	0.28663
ABCG8	0	0.14731	0	0.241803	0.235573	0.150835	0.229646	0.153738	0.142426	0.299197	0.146766	0.0746665	0.0684833	0	0.216645	0.074028	0	0	0.189742	0.0660268	0.130132	0.0591544	0.0597195	0.288217
ABHD1	0.183612	0	0	0	0	0	0.191286	0.191739	0.53375	0.373199	0.17909	0.344564	0.171439	0	0	0.181079	0.355815	0.468333	0	0.164961	0.487557	0	0	0
ABHD10	9.95379	17.90769	23.51544	16.93541	22.41829	14.24605	18.58622	18.3675	29.680585	15.50676	20.24536	10.214477	17.06005	19.40076	20.03431	24.97486	9.983557	27.943104	25.41154	26.15589	20.47989	15.72581	21.19255	20.996443
