sample_HFS146-resub	sample_HFS147	sample_HFS148	sample_HFS149	sample_HFS150	sample_HFS191	sample_HFS192	sample_HFS193	sample_HFS194	sample_HFS258	sample_HFS259	sample_HFS260	sample_HFS261	sample_HFS262	sample_HFS298	sample_HFS299	sample_HFS300	sample_HFS301	sample_HFS302	sample_HFS338	sample_HFS339	sample_HFS340	sample_HFS341	sample_HFS342-resub
LOC129404215	6.7398	12.7032	14.9692	3.94987	6.08155	14.6926	15.4161	11.498	5.79113	6.40628	5.77584	1.79835	10.6465	9.12619	14.5859	7.05916	13.4876	6.7261	3.32085	2.52142	5.54073	6.77747	8.39278	10.2409
LOC129404216	6.20277	7.08281	3.96572	3.18013	3.02256	4.25741	1.99476	4.6675	3.21791	1.83595	1.64205	1.90316	3.04389	2.18363	2.79277	1.55662	3.02896	3.22685	2.24716	2.28998	3.51821	1.71299	3.04563	2.98613
LOC129404219	2.28853	0.384744	3.55302	2.09312	1.65416	2.76155	1.20955	2.40646	4.11193	4.64833	0.370931	5.908	1.07317	0	1.12766	2.62065	4.05168	3.28488	3.96517	3.45504	1.36058	0.613524	3.43375	3.72948
LOC129404222	0	1.36574	0	0	0	0	0.486383	0	1.0066	0.923699	0	0	0	1.69423	0.215178	0	0.431436	0	0	0.437162	1.31328	0.752882	0	1.22039
LOC129404223	24.3031	31.4235	34.8941	33.6962	28.0207	28.7786	20.5142	24.8832	8.69063	18.9038	32.9421	53.5699	31.1647	27.2281	12.9539	22.2326	22.3938	24.2881	22.2743	18.2595	19.8692	18.3757	23.8703	21.2557
LOC129404224	3.18171	8.43847	5.73947	15.9197	14.0715	10.804	6.11535	21.7869	13.4715	3.97197	8.94983	5.21565	27.3894	3.09127	11.5239	9.58358	14.014	13.6631	5.13054	7.28111	4.2212	5.42578	2.85155	7.7379
LOC129404225	8.82178	6.37064	11.5081	9.37057	7.47654	10.7742	7.77966	7.68599	9.34722	10.4786	6.47219	7.18804	8.69687	7.82091	6.18727	6.26964	7.2574	10.1711	10.0162	8.06947	9.22735	8.59482	7.59832	7.06561
LOC129404226	2.00741	2.10769	2.3989	3.27536	1.77603	1.13649	3.92025	1.50432	0.32176	0.562992	1.31572	1.85973	2.47709	1.68904	2.71762	1.8818	3.13915	2.54007	1.61838	0.795544	0.783902	1.86804	0.449671	1.51553
LOC129404227	0	0.272276	0	0.296528	0.583933	0	0.284348	0	0	0.549604	0	0.242157	0	0.258235	0	0.265089	0	0	0	0	0	0.217316	0	0.527396
LOC129404228	4.2407	3.20054	4.36847	6.97565	4.58717	3.82845	7.29391	5.00935	8.87457	6.95643	6.77505	10.2018	3.98006	2.00493	4.14866	6.23774	13.2509	13.7439	3.65409	9.0767	8.10461	4.23284	3.473	5.53192
LOC129404229	9.02254	13.1683	15.7112	12.3521	14.691	11.5566	9.75746	11.574	8.30402	15.1954	11.4429	17.4789	19.5648	16.9272	15.947	10.8728	24.9542	10.7157	10.9489	11.3619	11.5822	11.594	10.3765	10.0494
LOC129404231	0.708496	0.439414	0.723756	0.673019	0.374937	0	0.365357	0.458505	0.424845	0.178462	0	0.352596	0.408666	0.334719	0.172295	0.616597	0.258025	0.223566	0.226342	0	0.31053	0.141079	0.427517	0.229044
LOC129404233	1.95575	0.838963	1.32826	1.97773	2.13226	1.05713	1.27431	1.54926	0.998329	1.11428	1.61059	1.25157	1.67984	1.16822	3.41723	1.88433	1.64704	0.930206	2.38327	3.12399	1.19723	1.7629	0.680247	1.68456
LOC129404235	0	0.842088	0.434012	0.688906	0.225379	0	0.218839	0	0.20357	0.213206	0.61151	0.387308	0	0.199801	0.205859	0	0.405663	0	0.541022	1.69732	0.743365	0	0.341263	0.272035
LOC129404238	3.89221	0	4.3109	2.01	2.98685	1.69624	0	3.35369	1.13527	2.80625	0	6.23377	1.95281	1.35845	4.37047	0.684628	2.3182	5.16121	2.22876	0.634795	2.49581	0.995675	0	2.26687
LOC129404240	23.0914	24.31978	9.42964	15.47598	18.95205	27.56208	34.8568	20.72839	19.80842	2.22024	16.05003	21.30415	21.5844	21.21451	17.89553	26.05919	36.5206	13.33036	8.37727	8.10274	8.71558	18.59062	13.73641	8.53514
LOC129404241	0	1.1149	1.14091	1.81702	1.19727	2.86126	0.586679	2.32068	0	1.11289	2.72877	0	1.0409	4.70215	1.08326	0	2.65678	1.43628	2.38504	1.99544	0.980503	2.20829	0.907271	0
LOC129404242	9.27334	6.70962	8.38682	9.04925	11.934	9.32587	12.1769	7.91229	12.209	8.76672	15.6467	20.5	8.95594	8.02243	8.67441	8.22473	11.0693	10.4484	10.6123	15.5452	16.8284	11.727	11.7546	18.3902
LOC129404244	12.593	30.4268	9.97731	10.3065	8.87465	11.3226	14.2974	13.0903	14.483	9.38029	10.4279	11.1681	13.4845	17.1932	12.7566	9.12895	18.1557	13.2779	12.655	17.2282	12.4407	16.0372	14.8267	12.0958
LOC129404245	10.5122	14.32849	9.02367	12.2088	10.9298	10.1708	12.2875	13.177437	8.20587	9.47987	9.15136	16.9245	11.2207	11.282631	8.55307	8.348	12.389	9.2797	10.415702	9.68328	11.9591	16.166779	11.0901	9.7162
LOC129404246	0.209359	2.31574	0.434012	1.14818	0.450758	0.431645	0.218839	0	0.20357	0	0.203837	0.193654	0	0.999006	0	0.206235	0.608495	0.357061	0	0.188591	0.185841	0.504095	0.341263	0
LOC129404247	2.08502	2.77011	4.9096	2.36229	2.24418	2.30798	3.63689	2.39148	1.41349	4.59685	2.27494	2.72192	3.07188	2.76996	4.06697	2.06501	4.04315	2.84483	2.30588	3.61666	3.24529	3.51743	2.45278	3.12313
LOC129404248	0.860001	2.15935	0	0	0.930569	0.88802	0.453968	0.451089	1.26665	0.43534	0	0.365292	1.20994	0.815235	0.423604	0.843629	1.24415	1.84867	0.74318	1.16396	0.765847	3.09137	1.75784	3.63967
LOC129404249	2.73381	1.55994	2.32123	2.51794	1.39906	0	2.48489	6.26684	0.718224	1.85224	2.1004	2.84926	0.713525	0	1.16415	1.84505	1.07113	0.968554	0.389287	1.73629	1.07875	2.1231	1.8122	0.246707
LOC129404251	102.329	67.889	75.1844	88.0296	94.1669	77.6782	94.1783	103.676	101.049	115.385	101.175	162.751	79.4556	87.8846	114.644	128.455	152.094	89.9401	115.287	139.449	100.882	76.4898	104.487	120.162
LOC129404253	3.81988	4.39145	2.01013	2.63005	2.67829	2.7158	5.64572	3.15162	2.76648	2.2276	2.5154	3.10778	2.10997	4.28215	3.01173	2.99513	3.95556	5.55638	2.86223	3.13928	2.23005	4.20433	3.02326	3.30829
LOC129404255	37.9523	31.318	32.2802	28.6345	36.5059	26.3432	39.326	40.3448	32.1515	17.6651	34.6482	55.8249	36.3849	40.9545	35.3124	47.6858	24.5201	20.4485	27.6026	15.9303	29.9911	22.6541	17.3994	36.5852
LOC129404256	0.774554	0.307092	0.316081	0.672066	0.491138	1.25782	1.35643	0.640958	3.71137	0.779623	1.14658	0.310583	0.356932	0.804339	0.60215	1.85076	0.526695	1.56234	0.791059	0.550575	0.3391	1.29466	1.0582	0.400473
LOC129404257	11.5035	13.5774	30.7566	18.4833	18.3364	15.5133	6.91207	8.41342	16.9526	5.43853	26.4625	9.56863	12.6187	16.8466	8.71204	18.4928	7.51963	28.1484	12.3105	3.98468	10.9701	10.1959	7.54987	9.54965
LOC129404258	8.23075	10.5211	11.7086	9.91336	13.4622	17.6865	11.562	14.4831	13.8747	12.1256	6.86207	5.15194	13.7483	9.40719	12.7464	11.7482	9.99378	12.5149	13.0366	7.77103	9.49963	8.30689	11.8826	10.7342
LOC129404259	14.0349	19.252	17.0933	13.7288	19.8865	19.1617	20.1472	15.8281	19.2967	19.4595	10.5965	18.1932	29.3573	10.0585	19.1993	14.1809	19.4626	25.662	18.8323	16.3318	17.392	18.6983	15.5464	18.5561
LOC129404260	1.99789e-06	0	0.224325	0	2.60508e-06	0	0	1.7392e-06	0	0	1.03701e-06	0	0	0	0	2.3119e-06	0	0	0	1.3709e-06	5.37906e-06	0	0	0
LOC129404261	0	0	1.60357	1.33271	0.34339	0	0	0	0	0	0.317504	0.564086	0.146648	0	1.26075	0.320403	0.452432	0.38686	7.77311	0.566051	0.27815	0	6.31887	0
LOC129404262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404265	0	0	0	0.466469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138156
LOC129404266	2.19302	2.80258	1.17566	1.92993	1.66148	3.93427	6.36531	1.62431	5.21862	10.6423	1.64401	1.23478	2.31753	2.66748	3.15352	0.518599	3.9538	3.43299	3.02902	3.62894	2.38392	3.49691	3.1137	3.04021
LOC129404269	0	0	0	0	0	0	0	0	0	0	0	0.368711	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404274	1.36512	4.8836	3.68468	2.15396	1.83369	0.806807	1.46458	0.425909	2.03654	1.56368	0.848695	8.97746	1.71625	1.52752	1.70597	1.44899	2.69534	2.13884	1.10503	2.85872	1.29172	6.58266	0.608916	2.21643
LOC129404276	0	0	0	0.202249	0	0	0	0	0	0	0	0	0.171801	0	0.0902119	0	0.180616	0	0.314816	0.0821183	0.162013	0	0.074111	0
LOC129404277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404278	0.767699	1.82696	0.346032	0.531379	0.369195	1.38728	1.72024	2.48274	2.1153	0.733299	1.26419	1.00897	0.822821	1.04846	1.37718	2.78387	0.62129	1.60306	0.411517	1.91433	0.642064	2.83278	1.63364	2.07969
LOC129404279	2.112208	2.846256	3.960356	3.405262	2.193512	2.89941	3.977774	3.059094	2.184523	2.78864	1.849444	2.18771	3.24106	5.52333	3.636096	2.829828	4.58226	5.43264	2.915331	2.899101	2.228116	2.571532	4.56431	2.804822
LOC129404281	0.659913	1.33724	1.36158	0	0.288553	0	0.28092	0.27385	0	0	0.259185	1.09977	1.24435	1.25264	0.648253	1.825255	1.773296	0	1.35249	0	0	0.214713	0	0.858407
LOC129404282	18.7047	26.0398	28.0732	29.7005	37.0051	37.4813	38.1887	43.9837	41.2547	39.2399	34.0329	55.5454	43.52	36.3415	40.7118	29.1559	51.0652	37.7287	48.0276	59.4279	42.8201	35.6093	39.2026	34.4109
LOC129404283	17.7024	15.9299	17.5975	19.6806	16.4934	12.3328	11.8676	13.7511	9.95033	10.8642	17.931	17.2118	13.1977	14.3961	12.8587	19.3896	13.641	13.2329	14.4654	14.8168	14.4329	13.168	9.47369	12.5529
LOC129404288	22.912	35.2631	36.6405	28.6508	28.5033	25.4395	35.3912	29.6034	33.1481	37.2208	19.7842	19.6568	33.0447	30.5324	31.1967	23.025	28.5412	34.9211	29.4482	30.6826	30.593	31.4834	37.3614	28.6183
LOC129404289	32.2588	30.1253	15.069	12.4424	22.3713	26.9144	25.5335	16.9277	28.4478	34.0904	33.6087	45.1263	28.1878	28.9222	28.7112	26.7041	48.5692	26.9175	14.4054	13.037	20.7429	14.8257	26.7935	34.8858
LOC129404290	7.4211	14.9609	17.2096	9.20706	8.07041	15.1866	9.05941	9.08721	15.8695	4.71578	11.972	8.52432	15.2809	17.0732	5.69073	8.20757	5.3626	15.0308	6.10459	2.60421	6.41475	13.6083	18.0156	6.50543
LOC129404291	0.609911	0.642398	0.949982	0.703408	1.02623	0.780708	1.04307	2.05405	0.65991	1.30533	2.13545	1.25251	1.52962	1.56929	1.85102	0.893561	3.1232	1.94016	1.13834	1.18771	1.09958	2.06658	0.618569	1.83702
LOC129404292	148.335	157.887	325.506	231.956	329.121	196.367	170.48	201.444	309.484	181.646	343.283	164.184	293.579	106.96	223.584	343.96	125.743	381.357	259.105	183.537	263.593	144.44	190.557	237.063
LOC129404293	1.46982	1.63111	1.85136	1.73573	1.58274	0.880022	1.41802	1.47212	0.667072	0.401834	1.02845	0.347143	1.94491	2.029	1.83451	1.51854	1.81053	1.15259	0.772471	1.33089	1.73826	1.04588	1.37989	0.876671
LOC129404294	0	0	0	0	0	0	0.396923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404295	1.36121	1.34545	1.27095	1.09024	1.01496	1.04985	1.75646	0.970292	1.17736	1.18915	0.936678	0.489986	1.47847	1.88796	1.29733	1.31315	2.10854	1.37069	1.13195	1.90764	1.45421	1.21298	0.867361	1.48172
LOC129404296	0.328671	1.30357	0.372525	0	0	0.383387	0.763705	0.220722	1.32967	0.719384	0	0.194313	0.376996	0.503427	0	0.415744	0.787255	0.317645	0.509764	0.412539	0.186895	0.277437	0.428837	0.275387
LOC129404297	0.670802	0.712833	1.18702	0.768954	0.777948	1.23999	0.850415	1.07773	0.535894	1.11004	0.66979	0.417377	0.676371	1.00498	1.27243	0.843693	2.54346	1.43948	0.398471	1.17918	0.989562	1.34731	0.427739	1.17649
LOC129404298	0.221211	0	0	0	0.234827	0.225407	0.114343	0.114755	0	0.111664	0.108753	0	0	0.10469	0	0.219585	0	0	0	0.197232	0.194342	0.176437	0	0
LOC129404299	1.07604	1.79423	0.442254	0.708837	1.49646	1.75989	1.88207	2.22516	0.859278	0.442368	0.830504	0.795769	0.427704	0.615664	0.462883	1.05043	1.48009	1.31728	0.92454	0.581204	3.39769	1.3696	0.695725	1.45544
LOC129404300	0.281295	0	0	0.76686	0.299826	0.143828	0	0.146326	0.135674	0.996654	0.275667	0	0	0	0.687262	0.13924	1.3642	0.119022	0.240735	0.880559	0.371835	0.449553	0.113756	0.820021
LOC129404301	2.69323	6.59505	1.48003	3.22265	1.25121	0.883942	5.67599	2.04456	2.75034	1.02535	0	0	1.28253	0	1.78451	0.350226	7.44213	4.8981	0	0.99993	0.341446	0.313094	0.644041	2.3746
LOC129404302	2.0658	2.22383	3.4374	3.81822	5.0939	1.79141	2.47691	2.98078	1.84297	1.12791	4.66245	4.23798	3.4022	0.452941	3.42216	2.35591	1.69469	2.69484	2.45183	2.56314	2.38506	3.94083	3.09033	2.36928
LOC129404305	1.078	0.153861	0.951229	0.672499	0.328886	0.315467	0.47983	0.641651	1.63638	0.780424	0.150697	1.32412	0.716335	0	0.301364	0.152277	1.49322	0.913577	0.527796	0.413786	0.135897	0.6158	0.623625	0.0998128
LOC129404307	2.846255	2.3087800868123	1.18063	1.87713	2.45809	0	5.43447	2.398120383279	0	4.61708	0	1.909710563361	0.538409228767	1.611607	2.225	6.13238	4.87834	0	2.92432	1.547540515645	1.00056	2.74255	3.7131	3.31906
LOC129404308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404310	0	0	0.732401	0	0	0	0	0	0	0	0	5.10631	0	0	0	0	0.733313	1.1201	1.88287	1.15821	0	0	1.05663	0
LOC129404311	0	0	0	1.19643	0	0	0	0	0	0	1.1178	0	0	2.08449	0	1.09121	1.0393	0	0	0	0	0.872062	0	0
LOC129404312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404313	2.149151	1.47153	1.47766	1.59026	2.870704	2.366592	2.83378	3.126141	3.378318	4.939781	1.765879	3.066274	1.835208	1.5909462	1.4233	2.70504	5.72753	1.17165	4.97041	1.70621	1.676429	2.547170396	1.58975	2.297963
LOC129404315	2.271193	3.352652	3.429431	4.924232	1.430859	3.560338	5.211776	3.58243	1.420619	4.942767	3.271636	1.94191	3.223644	3.163793	3.47782	1.429522	5.747841	4.83712	2.116258	2.9927815	3.147139031111	3.36453	3.0078067	4.59847
LOC129404316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404318	2.27579	0.914635	0.939075	1.00069	2.95744	0.470342	0	0.956299	0.895442	4.14699	2.67006	1.9251	0	2.15456	0.896047	0.447253	1.31738	0	2.75452	4.112	4.05464	0.727714	3.72386	3.26168
LOC129404323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404326	0	0	0	0.144647	0	0	0	0	0	0	0.0659451	0	0	0	0	0	0	0.168088	0.0567512	0	0	0	0	0.0862373
LOC129404330	0	0	0	0.263773	0.395855	0	0.133955	0	0	0	0	0	0	0	0.311681	0	0	0	0.75135	0	0	0	0	0
LOC129404331	0	0	0.172435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182644	0	0	0	0	0
LOC129404333	0	1.31695	0.271911	0	0.282277	0.26991	0.550045	0	0.255046	0	0	0	0.980282	0.249711	0	1.79638	1.26375	0	0.677517	0.708236	0.464865	0	0	0.510645
LOC129404340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404341	7.40509	7.43562	13.5977	7.46037	7.648	13.3334	7.3599	18.3946	9.01113	5.20992	5.92286	3.42487	20.8086	13.5229	5.96826	6.08424	9.25748	17.0367	8.90082	3.11262	6.81901	8.23644	4.19324	8.46024
LOC129404342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404347	41.3627	51.0623	59.1636	46.8189	48.3218	50.3247	45.8577	50.5237	41.3432	39.5477	28.1423	24.4626	34.4201	34.6852	36.7685	35.1804	38.3886	41.5135	44.8827	43.531	37.9868	30.5907	38.1466	43.5327
LOC129404350	0.228729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404351	0	0	0	0	0	0	0	0	0	0	0	0.128726	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404352	0.860185	2.20126	2.48475	3.03063	1.51393	3.78064	4.20644	1.55629	1.99096	10.168	2.68988	1.22615	6.60191	4.53194	2.99377	3.07039	1.95002	3.0706	10.1222	8.46599	6.46102	1.76808	2.13023	10.0973
LOC129404357	1.02062	1.0715	2.27605	2.51684	1.82298	1.03262	1.41207	1.11438	2.0786	1.45801	1.80163	1.22553	2.19781	0.610623	1.81775	2.09223	1.55209	2.47353	1.10489	1.46677	1.70679	1.2541	2.30836	1.57949
LOC129404359	0	0	0	0.602546	0	0	0	0	0	0	0	0	0	0	0.270585	0	0	0	0	0	0	0	0	0
LOC129404363	0	0	0.18355	0.194497	0.190465	0.913114	0	0.371201	0.172173	0	0.520574	0.502228	0	0	0.174336	0.175431	0	0.151067	0	0	0.157275	0.142399	0.144344	0.230672
LOC129404365	0.187428	0	0	0	0.201051	0	0.586084	0	0	0	0	0	0.175084	0	0.367885	0	0	0	0.16108	0	0	0	0	0.364889
LOC129404367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163862	0	0	0	0	0
LOC129404370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172976	0	0	0	0	0.142972	0	0
LOC129404380	0.162226	0.333415	0.51051	0.95205	9.5223	1.02444	2.40885	1.20005	4.11514	0.411345	0.154721	0.901988	1.0372	0.64241	0.161926	2.20492	17.6321	0.143992	0.411412	0.462794	0.150632	1.82005	0.256064	0.613782
LOC129404381	0	0.384744	0	0	0	0	1.20955	0.401077	0.373812	0	0.370931	0	0	0	0	0	2.57834	0	0	0	0	1.22648	0	0
LOC129404382	0.492507	0	0	0	0	0	0.517121	2.0657	1.44023	0	0.47898	0	0.462109	0	0.485919	1.21096	0	0	0	0.88936	0.218965	0.198196	0.402919	0
LOC129404383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631877	0	1.30627	0.317557	0	0	0
LOC129404384	0	0.204368	0.632003	0.892339	0	0.419081	3.82466	0.425383	2.37143	0.414155	1.38678	0.188765	0	0.388061	1.99903	0.200417	0.197075	0.346756	0.700282	1.46566	4.87165	1.14249	0.662587	0.264219
LOC129404385	0.673725	3.60757	0.690206	0.494587	1.45688	0	1.39459	0.941345	0.654839	0.456469	3.03834	0.212671	2.30205	0.641653	0.895195	0.443418	0.868912	1.56624	2.1243	1.01593	1.57962	0	0.362503	1.75577
LOC129404386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404396	0	0.197106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.388714	0	0.167946	0	0	0	0	0	0
LOC129404399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167946	0	0	0	0	0	0
LOC129404400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158147	0	0
LOC129404401	0.0687353	0.12845	0.207807	0.15599	0.532152	0.0765466	0.0681519	0.327145	0.433637	0.145375	1.08157	0.0722768	0.0654716	0.194247	0.141769	0.313775	0	0.254409	0	0.180651	0.127052	0.111775	0	0.183473
LOC129404404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181838	0	0
LOC129404406	0	0	0	0	0	0	0	0.434455	0	0.263327	0.182734	0	0	0	0	0	0.181533	0	0	0	0	0	0.399527	0.158456
LOC129404407	0	0	0.386208	0	0.808016	1.15648	0	0.392031	0	0	0	0	0.349489	1.06663	0.367136	0.731547	0	1.28323	0.322675	0.33744	0.665176	0.299407	1.83062	1.21572
LOC129404408	15.96136	17.17995	15.62604	13.79463	9.83637	13.7011	30.38507	9.79922	22.70328	9.752184	8.13748	30.4911	20.24229	25.04283	15.4205	2.778192	44.3416	18.71502	5.6874	8.2308	3.42571	24.57804	15.38795	4.563668
LOC129404409	4.07862	1.66367	3.38982	1.79501	6.17012	1.70533	4.37066	12.948	0.807134	5.75196	0	13.6594	3.86006	0.777164	0	1.61244	0.781771	1.4274	1.41123	1.48076	2.89381	4.56398	0	2.65638
LOC129404410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404412	0.548052	0.276521	2.2821	2.10891	0	0.849722	0.288895	0.863734	0.804092	1.39484	1.06526	0	0	0.262315	2.97643	0.26932	0.79601	0.235014	0.474079	0.99117	0	0	0.449543	0.535814
LOC129404413	1.03519	0.950909	0.987951	1.04412	1.11752	1.28619	0.734669	0.528265	0.93659	0.683685	0.76649	0.0840172	0.514553	0.440508	1.11468	1.09911	2.07358	0.893897	0.424706	0.522873	0.834098	1.33668	0.235349	1.08496
LOC129404414	0	0	0	3.29044	0	1.05143	0	4.24523	0	1.00935	0	2.54278	5.67006	0.951653	0.983398	1.99284	0	0.873413	0	0.908889	0.884268	0.797632	0.824411	0
LOC129404416	6.2229	7.03518	9.26029	7.07334	8.14536	4.85807	4.00967	9.25372	7.17559	5.02496	4.95178	3.33775	7.93633	5.51254	8.54321	10.6748	8.31801	8.17175	8.40663	4.63951	4.55356	8.027	4.96994	8.7593
LOC129404417	142.926	104.73	369.772	402.767	210.509	88.5796	166.81	62.7224	104.162	69.7527	105.346	210.24	136.73	151.217	138.747	68.3898	115.084	114.879	91.6494	89.7902	136.473	201.838	47.8838	470.26
LOC129404418	10.0117	6.2083	3.43846	5.63502	4.16651	5.85068	14.6073	5.69764	7.45517	4.63496	5.7172	12.8621	5.3301	9.58257	6.80724	4.05442	10.7338	5.84173	10.1489	7.13981	6.77196	8.63004	9.95531	8.61175
LOC129404419	18.39442	10.4976	4.12004	1.81928	4.01541	3.31474	14.81334	3.35257	11.09623	11.90215	9.09185	24.41448	5.740344	10.9202	3.33523	3.134013	21.50221	5.389468	12.03382	5.22327	6.04149	10.9812	6.3678	8.85644
LOC129404420	0.671623	0	0	0	0	0.95971	1.93496	0	1.4286	0.410743	0	0.593653	3.99417e-08	0	0.0120183	1.35744	0	1.75224	0.981338	1.31155	1.42191	0.991487	0	0.912212
LOC129404421	0.267864	0	0	0	0.570501	0.273702	0	0.278507	5.03512	0.406495	0	0	0.124291	1.14301	2.4854	0	0.129927	0.226512	0.458211	4.02019	2.59481	3.49751	0.108251	2.03659
LOC129404422	0.193686	0.0961828	0.495127	0	0.205227	0.394072	0.299904	0.200702	0.185988	0	0.381465	0	0.178932	0.824075	0.0942724	0.1925	0.470159	0.570943	0.165124	0.431109	0.424815	0.617399	0.233942	0.814248
LOC129404423	10.001	12.6514	10.6332	9.07025	13.8739	5.66437	9.98838	6.70351	6.8162	8.81576	1.88297	1.96351	10.1342	7.8668	9.40632	2.5785	11.145	8.49314	3.66812	9.56834	13.6341	6.46903	9.96837	8.6191
LOC129404424	0	1.29424	4.02332	1.41619	0	0	0	0	0	0	0	0	1.20219	7.35776	0	0	1.22289	5.58899	1.12673	0	0	2.03676	1.06368	0
LOC129404425	0	0	0.333793	0	1.55823	0.830254	0.336721	0.904855	0.469761	0.678767	0.475059	0.461944	0.301651	0	0.31718	0.32008	0.157016	0.294441	0.416615	0.871104	1.28738	1.44021	0.525132	0.840056
LOC129404427	33.7787	20.7943	7.92702	7.65504	18.6788	9.05586	25.9582	16.8725	15.7152	25.4566	14.1575	11.3014	24.972	25.788	20.0556	14.4865	33.0689	27.2046	13.5736	25.553	20.7738	16.4047	17.0022	23.1793
LOC129404428	20.61526	13.89481	12.51463	14.60356	14.16115	13.789	15.13136	14.70529	14.52677	23.24293	22.9752	38.37611	16.63386	8.7604	21.27214	15.56808	23.44775	13.43579	21.07911	18.27599	16.903	17.63564	12.09117	27.87663
LOC129404429	560.7171	378.4163	328.27	353.9094	451.408	439.5763	328.8225	536.4783	277.8931	385.8289	252.14	364.9467	307.4082	444.3958	248.4904	227.45597	469.8129	229.51044	357.5885	307.15425	253.7355	305.80123	534.1659	125.80291
LOC129404430	7.16661	0.347064	0.271046	0	0.773459	0.394056	0.365617	5.44205	3.34342	7.27358	2.69521	6.46192	8.78026	4.41878	4.09801	0	2.86342	0.11836	0.232679	4.2811	0.106335	0.10023	3.06334	0.331962
LOC129404432	0	0	0	0	0	0	0	0	1.65942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC129404433	1.05892	0	0	0	0	0	0	0	0	0	0	0	0	1.01807	0	0	0	0	0	0	0	0	0	0
LOC129404434	25.2685	15.3307	18.8744	10.9915	10.4546	9.81557	20.716	14.8455	6.52165	6.91039	4.50189	4.10155	6.85479	13.3081	7.65092	5.39757	9.42675	5.93891	4.04073	5.75708	5.27112	7.86582	7.90089	7.74124
